"doy","year","hour","shf","site","loc","sensorZ"
189,2016,8,6.903241,"hd","organic",5
189,2016,8.5,6.993402,"hd","organic",5
189,2016,9,7.076451,"hd","organic",5
189,2016,9.5,7.970909,"hd","organic",5
189,2016,10,9.257471,"hd","organic",5
189,2016,10.5,9.860299,"hd","organic",5
189,2016,11,10.20737,"hd","organic",5
189,2016,11.5,10.29694,"hd","organic",5
189,2016,12,9.989925,"hd","organic",5
189,2016,12.5,9.825821,"hd","organic",5
189,2016,13,10.17721,"hd","organic",5
189,2016,13.5,9.420218,"hd","organic",5
189,2016,14,8.894601,"hd","organic",5
189,2016,14.5,9.546683,"hd","organic",5
189,2016,15,10.21039,"hd","organic",5
189,2016,15.5,10.62315,"hd","organic",5
189,2016,16,10.32376,"hd","organic",5
189,2016,16.5,9.400514,"hd","organic",5
189,2016,17,9.152474,"hd","organic",5
189,2016,17.5,8.862491,"hd","organic",5
189,2016,18,8.633941,"hd","organic",5
189,2016,18.5,7.998823,"hd","organic",5
189,2016,19,7.374014,"hd","organic",5
189,2016,19.5,6.798841,"hd","organic",5
189,2016,20,6.273498,"hd","organic",5
189,2016,20.5,5.966465,"hd","organic",5
189,2016,21,5.839397,"hd","organic",5
189,2016,21.5,5.55989,"hd","organic",5
189,2016,22,4.809753,"hd","organic",5
189,2016,22.5,3.948386,"hd","organic",5
189,2016,23,3.632683,"hd","organic",5
189,2016,23.5,2.669295,"hd","organic",5
190,2016,0,1.942151,"hd","organic",5
190,2016,0.5,1.718842,"hd","organic",5
190,2016,1,1.173041,"hd","organic",5
190,2016,1.5,0.08397123,"hd","organic",5
190,2016,2,-0.6123073,"hd","organic",5
190,2016,2.5,-0.4023571,"hd","organic",5
190,2016,3,-0.02661996,"hd","organic",5
190,2016,3.5,0.1364991,"hd","organic",5
190,2016,4,0.7714682,"hd","organic",5
190,2016,4.5,1.966418,"hd","organic",5
190,2016,5,3.21338,"hd","organic",5
190,2016,5.5,4.205863,"hd","organic",5
190,2016,6,4.807068,"hd","organic",5
190,2016,6.5,5.028812,"hd","organic",5
190,2016,7,5.753125,"hd","organic",5
190,2016,7.5,6.320214,"hd","organic",5
190,2016,8,7.044359,"hd","organic",5
190,2016,8.5,7.865044,"hd","organic",5
190,2016,9,8.824031,"hd","organic",5
190,2016,9.5,9.946913,"hd","organic",5
190,2016,10,10.50442,"hd","organic",5
190,2016,10.5,11.26896,"hd","organic",5
190,2016,11,11.9705,"hd","organic",5
190,2016,11.5,12.93853,"hd","organic",5
190,2016,12,13.4698,"hd","organic",5
190,2016,12.5,14.41446,"hd","organic",5
190,2016,13,14.85667,"hd","organic",5
190,2016,13.5,18.86674,"hd","organic",5
190,2016,14,19.25496,"hd","organic",5
190,2016,14.5,17.16402,"hd","organic",5
