doy,year,hour,shf,site,loc,sensorZ
184,2017,7.5,13.09896,hd,organic,5
184,2017,8,13.00223,hd,organic,5
184,2017,8.5,12.8796,hd,organic,5
184,2017,9,13.26406,hd,organic,5
184,2017,9.5,13.96964,hd,organic,5
184,2017,10,14.77494,hd,organic,5
184,2017,10.5,14.87185,hd,organic,5
184,2017,11,14.79586,hd,organic,5
184,2017,11.5,15.96744,hd,organic,5
184,2017,12,18.86284,hd,organic,5
184,2017,12.5,21.41092,hd,organic,5
184,2017,13,21.75422,hd,organic,5
184,2017,13.5,21.04054,hd,organic,5
184,2017,14,21.16552,hd,organic,5
184,2017,14.5,21.26372,hd,organic,5
184,2017,15,21.82992,hd,organic,5
184,2017,15.5,21.3605,hd,organic,5
184,2017,16,19.05449,hd,organic,5
184,2017,16.5,16.71382,hd,organic,5
184,2017,17,15.32042,hd,organic,5
184,2017,17.5,15.0922,hd,organic,5
184,2017,18,14.72329,hd,organic,5
184,2017,18.5,14.00201,hd,organic,5
184,2017,19,13.4386,hd,organic,5
184,2017,19.5,12.84694,hd,organic,5
184,2017,20,12.14736,hd,organic,5
184,2017,20.5,11.38724,hd,organic,5
184,2017,21,10.79887,hd,organic,5
184,2017,21.5,9.944131,hd,organic,5
184,2017,22,9.131921,hd,organic,5
184,2017,22.5,8.498128,hd,organic,5
184,2017,23,7.974365,hd,organic,5
184,2017,23.5,7.281721,hd,organic,5
185,2017,0,6.478393,hd,organic,5
185,2017,0.5,5.817232,hd,organic,5
185,2017,1,5.270592,hd,organic,5
185,2017,1.5,4.877641,hd,organic,5
185,2017,2,4.576719,hd,organic,5
185,2017,2.5,4.303072,hd,organic,5
185,2017,3,4.144901,hd,organic,5
185,2017,3.5,4.157637,hd,organic,5
185,2017,4,4.2861,hd,organic,5
185,2017,4.5,4.451777,hd,organic,5
185,2017,5,4.513486,hd,organic,5
185,2017,5.5,4.569188,hd,organic,5
185,2017,6,4.771651,hd,organic,5
185,2017,6.5,4.965682,hd,organic,5
185,2017,7,5.092997,hd,organic,5
185,2017,7.5,5.195703,hd,organic,5
185,2017,8,5.488227,hd,organic,5
185,2017,8.5,5.802269,hd,organic,5
185,2017,9,6.130378,hd,organic,5
185,2017,9.5,6.585025,hd,organic,5
185,2017,10,6.82833,hd,organic,5
185,2017,10.5,7.252892,hd,organic,5
185,2017,11,7.675322,hd,organic,5
185,2017,11.5,7.789193,hd,organic,5
185,2017,12,7.619508,hd,organic,5
185,2017,12.5,7.674788,hd,organic,5
185,2017,13,8.246927,hd,organic,5
185,2017,13.5,9.075412,hd,organic,5
185,2017,14,9.459425,hd,organic,5
185,2017,14.5,9.642614,hd,organic,5
185,2017,15,10.01121,hd,organic,5
185,2017,15.5,9.964999,hd,organic,5
185,2017,16,10.14657,hd,organic,5
185,2017,16.5,10.28136,hd,organic,5
185,2017,17,9.911837,hd,organic,5
185,2017,17.5,9.346921,hd,organic,5
185,2017,18,8.816489,hd,organic,5
185,2017,18.5,8.406879,hd,organic,5
185,2017,19,8.35795,hd,organic,5
185,2017,19.5,8.291711,hd,organic,5
185,2017,20,8.133205,hd,organic,5
185,2017,20.5,7.902301,hd,organic,5
185,2017,21,7.574515,hd,organic,5
185,2017,21.5,7.199863,hd,organic,5
185,2017,22,6.95274,hd,organic,5
185,2017,22.5,6.789618,hd,organic,5
185,2017,23,6.727527,hd,organic,5
185,2017,23.5,6.691198,hd,organic,5
186,2017,0,6.521457,hd,organic,5
186,2017,0.5,6.345271,hd,organic,5
186,2017,1,6.181348,hd,organic,5
186,2017,1.5,6.05765,hd,organic,5
186,2017,2,6.018923,hd,organic,5
186,2017,2.5,5.98068,hd,organic,5
186,2017,3,5.968909,hd,organic,5
186,2017,3.5,6.076781,hd,organic,5
186,2017,4,6.308354,hd,organic,5
186,2017,4.5,6.591943,hd,organic,5
186,2017,5,6.913136,hd,organic,5
186,2017,5.5,7.40179,hd,organic,5
186,2017,6,8.319815,hd,organic,5
186,2017,6.5,9.474986,hd,organic,5
186,2017,7,10.43522,hd,organic,5
186,2017,7.5,11.75457,hd,organic,5
186,2017,8,13.48323,hd,organic,5
186,2017,8.5,14.17912,hd,organic,5
186,2017,9,14.76792,hd,organic,5
186,2017,9.5,16.63381,hd,organic,5
186,2017,10,17.83602,hd,organic,5
186,2017,10.5,19.78891,hd,organic,5
186,2017,11,21.55328,hd,organic,5
186,2017,11.5,25.54137,hd,organic,5
186,2017,12,25.40491,hd,organic,5
186,2017,12.5,25.84751,hd,organic,5
186,2017,13,26.57526,hd,organic,5
186,2017,13.5,30.87957,hd,organic,5
186,2017,14,29.88935,hd,organic,5
186,2017,14.5,29.50114,hd,organic,5
186,2017,15,30.86514,hd,organic,5
186,2017,15.5,30.03746,hd,organic,5
186,2017,16,29.30071,hd,organic,5
186,2017,16.5,26.76067,hd,organic,5
186,2017,17,23.68638,hd,organic,5
186,2017,17.5,22.68323,hd,organic,5
186,2017,18,22.16874,hd,organic,5
186,2017,18.5,21.32346,hd,organic,5
186,2017,19,19.58769,hd,organic,5
186,2017,19.5,18.97371,hd,organic,5
186,2017,20,17.93488,hd,organic,5
186,2017,20.5,16.77601,hd,organic,5
186,2017,21,15.72994,hd,organic,5
186,2017,21.5,14.18088,hd,organic,5
186,2017,22,11.94421,hd,organic,5
186,2017,22.5,10.10889,hd,organic,5
186,2017,23,9.024283,hd,organic,5
186,2017,23.5,8.150904,hd,organic,5
187,2017,0,7.602026,hd,organic,5
187,2017,0.5,7.268764,hd,organic,5
187,2017,1,6.701371,hd,organic,5
187,2017,1.5,6.186721,hd,organic,5
187,2017,2,6.008603,hd,organic,5
187,2017,2.5,6.105989,hd,organic,5
187,2017,3,6.014095,hd,organic,5
187,2017,3.5,6.07306,hd,organic,5
187,2017,4,6.870112,hd,organic,5
187,2017,4.5,7.640147,hd,organic,5
187,2017,5,7.822146,hd,organic,5
187,2017,5.5,8.517657,hd,organic,5
187,2017,6,10.47722,hd,organic,5
187,2017,6.5,13.48721,hd,organic,5
187,2017,7,16.46756,hd,organic,5
187,2017,7.5,18.57156,hd,organic,5
187,2017,8,19.63689,hd,organic,5
187,2017,8.5,20.64183,hd,organic,5
187,2017,9,22.00095,hd,organic,5
187,2017,9.5,23.52758,hd,organic,5
187,2017,10,23.28498,hd,organic,5
187,2017,10.5,23.58649,hd,organic,5
187,2017,11,24.88251,hd,organic,5
187,2017,11.5,27.4777,hd,organic,5
187,2017,12,26.17694,hd,organic,5
187,2017,12.5,25.38347,hd,organic,5
187,2017,13,25.5968,hd,organic,5
